Total Death,Crew Death,Passenger Death,Ground Death,Type,Incident[nb 8],Aircraft,Location,Phase,Date,Latitude,Longitude
159,12,147,0,COM,Libyan Arab Airlines Flight 1103 and,Boeing 727-2L5ÿandÿMikoyan-Gurevich MiG-23,"Qasr bin Ghashir, Tripoli, Libya",APR,22-Dec-92,32.68330002,13.18330002
131,6,125,0,COM,TAP Portugal Flight 425,Boeing 727-282Adv,"Santa Cruz, Portugal",LDG,19-Nov-77,32.68840027,-16.79000092
144,9,128,7,COM,PSA Flight 182 and,Boeing 727-214ÿandÿCessna 172,"San Diego, California, US",APR,25-Sep-78,32.71569061,-117.1617203
135,8,126,1,COM,Delta Air Lines Flight 191,Lockheed L-1011 TriStar,"Dallas-Fort Worth, Texas, US",APR,2-Aug-85,32.86582184,-97.03990936
103,11,92,0,COM,Afriqiyah Airways Flight 771,Airbus A330-202,"Tripoli, Libya",APR,12-May-10,32.87223816,13.19237041
126,11,115,0,COM,?SA Flight 542,Ilyushin Il-62,"Damascus, Syria",APR,20-Aug-75,33.5165596,36.31708145
159,8,151,0,COM,American Airlines Flight 965,Boeing 757-223,"nearÿBuga, Colombia",APR,20-Dec-95,33.54419,-82.26405
152,6,146,0,COM,Airblue Flight 202,Airbus A321-231,"Islamabad, Pakistan",APR,28-Jul-10,33.70767975,73.07047272
127,6,121,0,COM,Bhoja Air Flight 213,Boeing 737-236,"Islamabad, Pakistan",APR,20-Apr-12,33.70767975,73.07047272
160,14,146,0,COM,China Northwest Airlines Flight 2303,Tupolev Tu-154M,"Xian, China",ENR,6-Jun-94,34.26324844,108.9318314
104,8,96,0,COM,Kam Air Flight 904,Boeing 737-242,"Chaperi Ghar Mtn.,ÿPamir Mts., Afghanistan",ENR,3-Feb-05,34.546041,69.165809
126,9,117,0,COM,Globe Air (HB-ITB),Bristol Britannia 313,"Nicosia, Cyprus",APR,20-Apr-67,35.17298126,33.40114975
129,8,121,0,COM,Air China Flight 129,Boeing 767-2J6ER,"Busan, South Korea",APR,15-Apr-02,35.17792892,129.078476
264,15,249,0,COM,China Airlines Flight 140,Airbus A300B4-622R,"Komaki, Japan",APR,26-Apr-94,35.29234314,136.9168854
124,11,113,0,COM,BOAC Flight 911,Boeing 707-436,"Gotemba, Japan",ENR,5-Mar-66,35.29999924,138.9329987
133,7,126,0,COM,All Nippon Airways Flight 60,Boeing 727-81,"Tokyo Bay, Japan",APR,4-Feb-66,35.41666794,139.7833405
106,7,99,0,COM,Royal Air Maroc Caravelle (OO-SRD),Sud Aviation SE-210 Caravelle VIN,"Mt. Mellalyene,ÿTetouan, Morocco",ENR,22-Dec-73,35.54560852,-5.446615219
520,15,505,0,COM,Japan Airlines Flight 123,Boeing 747SR-46,"Ueno, Japan",ENR,12-Aug-85,35.71369934,139.7769928
168,12,156,0,COM,Caspian Airlines Flight 7908,Tupolev Tu-154M,"Qazvin, Iran",ENR,15-Jul-09,36.27970123,50.00490189
128,11,117,0,COM,United Airlines Flight 718 and,Douglas DC-7ÿandÿLockheed L-1049,"Grand Canyon, Arizona, US",ENR,30-Jun-56,36.29851532,-112.7921143
112,8,104,0,COM,Civil Aviation Administration of China Flight 3303,Hawker Siddeley Trident,"nearÿYangshuo, China",APR,26-Apr-82,36.55308533,103.9754333
144,7,137,0,COM,Independent Air Flight 1851,Boeing 707-331B,"Pico Alto Mtn., Azores, Portugal",APR,8-Feb-89,37.351111,-121.858889
154,8,146,0,COM,Turkish Airlines Flight 452,Boeing 727-2F2,"Isparta, Turkey",APR,19-Sep-76,37.74980164,30.56940079
115,7,108,0,COM,Alitalia Flight 112,McDonnell Douglas DC-8-43,"Cinisi, Sicily, Italy",APR,5-May-72,38.16210175,13.10289955
121,6,115,0,COM,Helios Airways Flight 522,Boeing 737-31S,"Grammatiko, Greece",ENR,14-Aug-05,38.20140076,23.9673996
112,9,103,0,COM,China Northern Airlines Flight 6136,McDonnell Douglas MD-82,"Dalian Bay, China",APR,7-May-02,38.97012711,121.7056198
104,6,98,0,COM,Iberia Airlines Flight 602,Sud Aviation SE 210 Caravelle,"Ibiza, Spain",APR,7-Jan-72,38.97260284,1.416544914
162,7,155,0,COM,All Nippon Airways Flight 58 and,Boeing 727-281ÿandÿF-86 Sabre,"Shizukuishi, Japan",ENR,30-Jul-71,39.68716049,141.0051422
104,6,11,87,COM,Middle East Airlines Flight 265 and,Vickers Viscount 754DÿandDouglas C-47,"Ankara, Turkey",APR and ENR,1-Feb-63,39.94290924,32.86048889
181,19,162,0,COM,Avianca Flight 011,Boeing 747-283B,"Madrid, Spain",APR,27-Nov-83,40.45140076,-3.563149929
154,6,148,0,COM,Spanair Flight 5022,McDonnell Douglas MD-82,"Madrid, Spain",TOF,20-Aug-08,40.45140076,-3.563149929
265,9,251,5,COM,American Airlines Flight 587,Airbus A300B4-605R,"Belle Harbor, New York, US",ENR,12-Nov-01,40.57870865,-73.85101318
132,5,127,0,COM,US Air Flight 427,Boeing 737-3B7,"Aliquippa, Pennsylvania, US",APR,8-Sep-94,40.61774063,-80.24594879
113,6,107,0,COM,Eastern Air Lines Flight 66,Boeing 727-225,"Jamaica, New York, US",APR,24-Jun-75,40.6996994,-73.80809784
134,12,116,6,COM,United Airlines Flight 826 and,Douglas DC-8-21ÿandLockheed L-1049,"New York City, New York, US",APR,16-Dec-60,40.7820015,-73.83270264
230,18,212,0,COM,TWA Flight 800,Boeing 747-131,"Atlantic Ocean, offÿEast Moriches, New York, US",ENR,17-Jul-96,40.80794144,-72.82711792
116,8,108,0,COM,Avioimpex Flight 110,Yakovlev Yak-42D,"Ohrid, Republic of Macedonia",APR,20-Nov-93,41.11750031,20.80211067
112,7,105,0,COM,Dan-Air (G-APDN),de Havilland Comet 4,"Les Agudes Mtn., Spain",ENR,3-Jul-70,41.461143,2.17661
200,9,191,0,COM,Aeroflot Flight 7425,Tupolev Tu-154B-2,"nearÿUchkuduk, Uzbekistan",ENR,10-Jul-85,41.77239227,63.14588928
180,7,173,0,COM,Inex-Adria Aviopromet Flight 1308,McDonnell Douglas MD-81,"Mt. San Pietro,ÿPetreto-Bicchisano, Corsica, France",ENR,1-Dec-81,41.7825,8.97932
273,13,258,2,COM,American Airlines Flight 191,McDonnell Douglas DC-10-10,"Des Plaines, Illinois, US",TOF,25-May-79,42.04199982,-87.88845062
217,15,202,0,COM,EgyptAir Flight 990,Boeing 767-366ER,"Atlantic Ocean, area ofÿNantucket, Massachusetts, US",ENR,31-Oct-99,42.12551498,-71.49861908
156,6,148,2,COM,Northwest Airlines Flight 255,McDonnell Douglas DC-9-82,"Romulus, Michigan, US",TOF,16-Aug-87,42.222229,-83.38535309
