Total Death,Crew Death,Passenger Death,Ground Death,Type,Incident[nb 8],Aircraft,Location,Phase,Date,Latitude,Longitude
57,7,50,0,COM,Atlasjet Flight 4203,McDonnell Douglas MD-83,"Keáiborlu, Turkey",APR,30-Nov-07,,
57,5,52,0,COM,ASA Pesada (D2-FCG),Antonov An-26,"Luanda, Angola",ENR,15-Nov-00,,
57,5,52,0,COM,Turkish Airlines Flight 278,Boeing 737-4Y0,"Van, Turkey",APR,29-Dec-94,,
57,5,52,0,COM,SAETA (HC-AVP),Vickers Viscount 785D,"Pastaza, Ecuador",ENR,23-Apr-79,,
57,4,53,0,COM,Aeroflot Flight 2174,Antonov An-24B,"Atamanovka,ˇSaratov, Russia",APR,1-Dec-71,,
57,5,52,0,COM,Civil Air Transport (B-908),Curtiss C-46D-10-CU,"Jiaoxi, Taiwan, China",ICL,20-Jun-64,,
56,2,53,0,COM,Indian Airlines Flight 491,Boeing 737-2A8,"Aurangabad, India",TOF,26-Apr-93,,
56,2,54,0,COM,Martinair Flight 495,McDonnell Douglas DC-10-30CF,"Faro, Portugal",LDG,21-Dec-92,,
56,?,?,0,COM,Aeroflot (CCCP-46435),Antonov An-24B,"Neftyanyye Kamni, Azerbaijan",ENR,18-Aug-73,,
56,1,50,5,COM,Varig Flight 837,Douglas DC-8-33,"Monrovia, Liberia",APR,5-Mar-67,,
56,4,52,0,COM,Avianca Flight 4,Douglas C-54,"Cartagena Bay, offˇCartagena, Colombia",ICL,15-Jan-66,,
56,4,52,0,COM,Miami Airlines (N1678M),Curtiss C-46F-1-CU,"Hillside, New Jersey, US",ENR,16-Dec-51,,
55,6,47,2,COM,China Eastern Airlines Flight 5210,Bombardier CRJ-200LR,"Baotou, Inner Mongolia, China",ICL,21-Nov-04,,
55,1,54,0,COM,China Northwest Airlines Flight 2119,British Aerospace 146,"Yinchuan, China",TOF,23-Jul-93,,
55,5,50,0,COM,Partnair Flight 394,Convair CV-580,"Skagerrak, nearˇHirtshals, Denmark",ENR,8-Sep-89,,
55,2,53,0,COM,British Airtours Flight 328M,Boeing 737?236,"Manchester, England, UK",TOF,22-Aug-85,,
